PROBLEM_NAME,SIZE,TIME(microseconds),FLAG
../inputs/0_05fill_size9604.mtx,9604,9859,0
../inputs/0_11fill_size23052.mtx,23052,2473351624,1
../inputs/0_1fill_size20466.mtx,20466,1234704,0
../inputs/0_2fill_size1000.mtx,1000,22304,0
../inputs/0_64fill_size3562.mtx,3562,9257399,1
../inputs/1_07fill_size2003.mtx,2003,3243256,1
../inputs/1_0fill_size1806.mtx,1806,629098,0
../inputs/1_15fill_size1440.mtx,1440,125864,0
../inputs/2_03fill_size9000.mtx,9000,1712023,0
../inputs/3_18fill_size588.mtx,588,246289,0
../inputs/4_4fill_size420.mtx,420,5367,0
